day,L,seed,chi,delta,g,M_tot,eta_M,omega_M,n_criminals,crimes_that_day,home_exits_that_day,inflow_that_day,balance_error,frac_exit_crime,frac_exit_home,mean_p_crime,mean_p_home,B_mean,B_std,H,f_hot_2,f_hot_3,B_q90_over_mean,B_q95_over_mean,B_q99_over_mean,Atilde_mean,deterrence_mean,deterrence_hot,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,stat_window,T_max,M_bar,M_final_sum,code_hash,wall_s
275.5,128,0,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,66.45555555555555,28.31111111111111,4.4222222222222225,32.855555555555554,0.0,0.8641578657675046,0.13584213423249528,0.004261162240107942,0.0006664444941520964,0.14545480394023771,0.23736128538897058,1.630794555460707,0.123046875,0.06630147298177083,2.3118314847782804,3.5186986297368676,7.103335206310814,0.17878813724023768,1.0,1.0,0.2831140950085029,0.892494488647298,0.1564952489007485,2.808538523517479,0.5729386214176493,0.1286947654437451,185-365,365,0.030517578125,500.0000000000854,fb4ecf2f5c,15.869
275.5,128,1,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,67.2388888888889,27.516666666666666,4.738888888888889,32.233333333333334,0.0,0.8501254459286068,0.14987455407139316,0.004081606181099691,0.0006664444941520964,0.14181472349658458,0.2282263092911873,1.6080836825185048,0.12101982964409722,0.0648532443576389,2.2863167858947895,3.4688067599877916,6.984522644062113,0.17514805679658457,1.0,1.0,0.2729844216045475,0.8866920455178413,0.15368324574246092,2.5222317573906405,0.5646699999929954,0.1242272846874617,185-365,365,0.030517578125,500.0000000000878,fb4ecf2f5c,16.328
275.5,128,2,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,68.46666666666667,28.47222222222222,4.466666666666667,32.983333333333334,0.0,0.8645942917166539,0.13540570828334594,0.004245261321910429,0.0006664444941520964,0.1452773830980516,0.2410606624063193,1.659127837180542,0.1241912841796875,0.06801995171440972,2.340150783028357,3.5716530001328755,7.247678732770944,0.17861071639805154,1.0,1.0,0.28963892887894926,0.8896318064589152,0.15796838284246137,2.618314902161755,0.58200159262722,0.13325476002043232,185-365,365,0.030517578125,500.0000000000852,fb4ecf2f5c,16.218
275.5,128,3,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,68.76666666666667,27.75,4.377777777777778,32.044444444444444,0.0,0.861163336396533,0.13883666360346705,0.004068406286427804,0.0006664444941520964,0.14240396484343265,0.2317265654113631,1.625843212678685,0.12288987901475694,0.0657470703125,2.3101802933234135,3.498798677057364,7.0189910562653814,0.17573729814343267,1.0,1.0,0.28345557939682803,0.8843324090354704,0.15593069634326118,2.489275870497153,0.5714753911102837,0.1307482024248758,185-365,365,0.030517578125,500.0000000000857,fb4ecf2f5c,19.135
275.5,128,4,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,66.67222222222222,27.738888888888887,4.233333333333333,32.05,0.0,0.8682188691627127,0.13178113083728724,0.0041005367361583445,0.0006664444941520964,0.14284854508807135,0.2317402463464982,1.622093774050471,0.12427232530381944,0.0661224365234375,2.3242325889747795,3.5004266431579976,7.044969759762347,0.17618187838807134,1.0,1.0,0.28065333251006397,0.8839655693714852,0.15477835659617337,2.644194322824853,0.5747836211911578,0.13014174876598444,185-365,365,0.030517578125,500.0000000000874,fb4ecf2f5c,16.995
275.5,128,0,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,228.74444444444444,17.377777777777776,15.21111111111111,32.63333333333333,0.0,0.5346379417284473,0.46536205827155264,0.0007744327855141822,0.0006664444941520964,0.08888426542524624,0.11956713746827398,1.345480550045893,0.09463941786024306,0.03890279134114583,1.947800806931092,2.690496534289877,5.265974392809862,0.06264617694577987,0.37137753620600517,0.2911081175113874,0.15968316031683388,0.8331601309127024,0.12586831340067153,2.2838643893122077,0.4431471693773364,0.07081654968998195,185-365,365,0.030517578125,500.0000000001256,fb4ecf2f5c,22.348
275.5,128,1,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,228.71666666666667,18.305555555555557,15.177777777777777,33.422222222222224,0.0,0.547209941255055,0.452790058744945,0.0007948083877696813,0.0006664444941520964,0.09305002361301998,0.12336744501745957,1.3254421880408782,0.09520161946614583,0.03852267795138889,1.9537790496577085,2.6840329661444193,5.200193552389197,0.06397079392909236,0.3716198208369393,0.28996877943262434,0.16540314256256597,0.8341365186395453,0.12636527649603874,2.4652959019265337,0.4432227756726219,0.07342833404218249,185-365,365,0.030517578125,500.00000000012056,fb4ecf2f5c,21.124
275.5,128,2,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,225.1,18.13888888888889,15.011111111111111,33.25555555555555,0.0,0.5463578695208743,0.45364213047912566,0.0007949569309134689,0.0006664444941520964,0.09251448510156324,0.12074015478212219,1.3049183089210974,0.0928531222873264,0.03807101779513889,1.92934281874228,2.6626683275219962,5.206220845677786,0.06392441319752007,0.37135385372144,0.29103149740375533,0.1579606710317353,0.8354296498564113,0.12589448364495714,2.243381361878874,0.4348421486499965,0.07013280538948585,185-365,365,0.030517578125,500.0000000001203,fb4ecf2f5c,21.129
275.5,128,3,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,225.18333333333334,17.755555555555556,14.772222222222222,32.63333333333333,0.0,0.5432770036023813,0.4567229963976187,0.0007831165530973993,0.0006664444941520964,0.08992225991260329,0.12069696760666251,1.3430600249649294,0.09422336154513888,0.03876274956597222,1.9431795094400972,2.685401617729843,5.243839271231195,0.06300821701840875,0.3713169617455568,0.291261993290575,0.15877324796409242,0.8385231299425808,0.12589366776042904,2.1743013204940858,0.44096592134762097,0.06933636718367456,185-365,365,0.030517578125,500.00000000012153,fb4ecf2f5c,20.411
275.5,128,4,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,222.65555555555557,18.17222222222222,14.561111111111112,32.7,0.0,0.5561997879121147,0.44380021208788545,0.0007952275316075665,0.0006664444941520964,0.09293233765341144,0.12224372654756349,1.316918099345509,0.09393039279513889,0.03782484266493055,1.9423513627376034,2.663897644855567,5.2010485086626055,0.06397487595264967,0.37155403155406347,0.2901330013741619,0.16209306963148992,0.8305444542595558,0.12622545679732375,2.3072074252820056,0.43964761071870445,0.07297058480965593,185-365,365,0.030517578125,500.0000000001236,fb4ecf2f5c,17.561
275.5,128,0,98.304,0.0666666667,3.0,500.0,0.1,0.0666666667,324.8,11.255555555555556,22.2,33.455555555555556,0.0,0.33629764108773486,0.6637023589122651,0.00035955862871105344,0.0006664444941520964,0.057509467376657616,0.08273177243076879,1.4394667209013732,0.07600809733072916,0.028917439778645835,1.7633299683350012,2.398267397962572,4.773128333964373,0.03584724131527305,0.05110242162038403,0.035447182739791264,0.10485017856391354,0.8234548018636167,0.11404651255796104,1.6873882520384238,0.39072108776536174,0.039497527750109,185-365,365,0.030517578125,500.0000000001672,fb4ecf2f5c,18.349
275.5,128,1,98.304,0.0666666667,3.0,500.0,0.1,0.0666666667,330.05,11.75,21.433333333333334,32.85,0.0,0.35442626328788207,0.6455737367121178,0.0003607423540914016,0.0006664444941520964,0.06014328483461292,0.08220865539190501,1.3662296423367877,0.07513393825954862,0.028117879231770834,1.7574579799527652,2.374544800498956,4.7089436518279575,0.035966002063684395,0.051075362746027565,0.03509643624492465,0.1020557379898177,0.8289897015589145,0.11433691778376795,1.7909288079749577,0.38406781564735865,0.03887508648286841,185-365,365,0.030517578125,500.00000000016564,fb4ecf2f5c,16.824
275.5,128,2,98.304,0.0666666667,3.0,500.0,0.1,0.0666666667,317.72222222222223,11.36111111111111,21.011111111111113,32.233333333333334,0.0,0.35141261650964906,0.6485873834903508,0.0003595751038146343,0.0006664444941520964,0.0582554252444026,0.08347250403246091,1.4323421579533024,0.07688496907552084,0.029316541883680554,1.7703594085336058,2.408829285655099,4.7921497799562225,0.035866732001092534,0.05120868044533412,0.03475612243023666,0.10759368017400324,0.8212721195550763,0.11482061680973603,2.0062084938604863,0.3929065987679309,0.041439613406934576,185-365,365,0.030517578125,500.00000000016917,fb4ecf2f5c,19.737
275.5,128,3,98.304,0.0666666667,3.0,500.0,0.1,0.0666666667,321.3,11.433333333333334,21.522222222222222,32.97222222222222,0.0,0.3476456708119986,0.6523543291880014,0.0003594479005848566,0.0006664444941520964,0.057942006823796674,0.08332802881850758,1.4379474651556146,0.07668287489149306,0.029273139105902776,1.769174682738818,2.409043871334542,4.801932055753225,0.03585339728802296,0.05118279238252011,0.03492704589137836,0.10697650306743915,0.822332329613597,0.11461632733746635,1.7353304409280494,0.39440227979332015,0.0410146234104538,185-365,365,0.030517578125,500.00000000016644,fb4ecf2f5c,19.766
275.5,128,4,98.304,0.0666666667,3.0,500.0,0.1,0.0666666667,315.10555555555555,11.044444444444444,21.244444444444444,32.45,0.0,0.3432003356782771,0.6567996643217229,0.0003589359268180807,0.0006664444941520964,0.05673992944456378,0.08190327366282067,1.442575462322346,0.07750413682725694,0.029699028862847223,1.7780837676383467,2.4213966081638065,4.823503925793078,0.03580588133152249,0.051107316472486244,0.035212953872664154,0.10422734694539179,0.8247870258539943,0.1142551945027447,1.9148463241089668,0.3953391035819814,0.03958641315023913,185-365,365,0.030517578125,500.0000000001689,fb4ecf2f5c,18.357
